"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Saucedemo login functionality: UC-3: Test Login form with credentials by passing Username & Password","2","0","","0"
"0","","0","Saucedemo login functionality: UC-1: Test Login form with empty credentials","2","0","","0"
"0","","0","Saucedemo login functionality: UC-2: Test Login form with credentials by passing Username","2","0","","0"
